Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Population_mln,Life_expectancy
Azerbaijan,Asia,2020,53.5,64.3,163.946,8.17,67.4
Mauritania,Africa,2023,67,108.1,221.8,3.02,61.3
Israel,Middle East,2022,3.3,4.1,58.2,8.06,82.1
Syrian Arab Republic,Middle East,2017,16.2,18.9,128.9725,20.66,73.6
Armenia,Rest of Europe,2023,13.3,14.8,126.937,2.91,74.3
Equatorial Guinea,Africa,2021,74.3,103.6,325.0465,1.03,56.3
Turkmenistan,Asia,2021,36.3,42,194.059,5.27,67.2
Kazakhstan,Asia,2020,16.4,18.3,226.753,16.56,68.7
Uzbekistan,Asia,2018,50.8,60.7,191.823,24.65,67.2
Namibia,Africa,2020,43.6,74.7,494.617,1.85,50.9
Honduras,Central America and Caribbean,2015,16.5,19.2,146.5195,9.11,74.5
Hungary,European Union,2020,4.9,5.9,149.61,9.97,74.9
Croatia,European Union,2019,4.7,5.5,101.45,4.3,76.5
Equatorial Guinea,Africa,2015,90.3,129,335.756,0.78,54.6
Gabon,Africa,2015,46.6,71.6,310.2645,1.43,58.6
Slovak Republic,European Union,2022,7.1,8.5,138.1965,5.37,74
Lesotho,Africa,2022,73,114.5,617.2135,2.01,43.1
Uganda,Africa,2019,83.4,139.3,522.318,24.39,47.2
Libya,Africa,2023,11.8,13.8,135.968,6.36,72
Ukraine,Rest of Europe,2019,15,17.4,255.8925,48.66,67.8
St. Lucia,Central America and Caribbean,2020,17.7,20,143.2465,0.18,75
Guinea,Africa,2015,68.4,107.3,262.871,11.43,59.6
Sweden,European Union,2015,2.8,3.4,63.6035,9.08,80.7
Sao Tome and Principe,Central America and Caribbean,2023,20.1,25.3,192.893,0.2,69.1
Poland,European Union,2019,5.1,6,129.3125,38.04,76.2
Jordan,Middle East,2021,20.8,24.6,126.1305,5.43,72.3
Italy,European Union,2018,4.7,5.6,76.0095,56.94,79.8
Samoa,Oceania,2020,17.1,20.1,167.599,0.18,69.5
Chile,South America,2022,7.1,8.3,92,17.57,79.3
Saudi Arabia,Middle East,2022,15,17.4,102.8635,23.13,73.2
Malaysia,Asia,2021,7.3,8.5,130.2105,24.7,73.2
Belarus,Rest of Europe,2021,7.8,10.1,251.835,9.8,68.6
Iceland,Rest of Europe,2017,2.3,2.9,51.6075,0.32,81.6
Italy,European Union,2016,3.6,4.2,61.3625,58.44,81.4
Dominican Republic,Central America and Caribbean,2021,30.6,37.4,182.5815,8.85,70.2
Canada,North America,2018,5,5.8,71.2685,33.63,81
Argentina,South America,2019,16.9,18.9,137.696,37.28,73.8
Papua New Guinea,Oceania,2020,44,56.5,232.8715,7.47,62.3
Sweden,European Union,2015,2.3,2.9,53.4415,9.8,82.2
Singapore,Asia,2016,2.3,2.9,63.981,4.59,80.4
Central African Republic,Africa,2015,104.8,158.3,514.5715,4.12,45.2
"Iran, Islamic Rep.",Middle East,2022,23.6,28.2,138.2585,68.95,71.6
Greece,European Union,2015,3.8,4.3,78.6205,11.02,79.4
Bosnia and Herzegovina,Rest of Europe,2023,7.8,8.9,110.264,3.77,75.2
Germany,European Union,2023,3.9,4.7,84.758,82.47,78.9
Panama,Central America and Caribbean,2018,17.5,20.5,122.8365,3.58,76.6
Indonesia,Asia,2015,23.2,27.7,175.564,258.38,70.8
Ireland,European Union,2019,3.5,4.2,68.771,4.56,80.7
Belize,Central America and Caribbean,2019,19.4,22.8,195.111,0.26,69
Equatorial Guinea,Africa,2022,96.1,138.2,333.4845,0.72,54.3
"Congo, Rep.",Africa,2018,44.7,65,319.8945,4.15,59.3
Cameroon,Africa,2023,78.1,127.5,386.9125,17.73,52.8
Austria,European Union,2015,3.9,4.7,78.393,8.27,79.9
"Congo, Dem. Rep.",Africa,2017,88.1,122.3,292.737,60.41,55.7
Suriname,South America,2022,19.1,21.4,172.944,0.55,71
Cyprus,European Union,2021,4.5,5.2,65.7605,0.99,78.4
Cyprus,European Union,2018,5.6,6.5,69.0645,0.94,78
Afghanistan,Asia,2017,69.2,95.7,259.806,27.72,59.9
Estonia,European Union,2018,8.7,10.9,213.0375,1.4,70.4
Armenia,Rest of Europe,2016,19,21.4,145.711,2.93,72.8
"Bahamas, The",Central America and Caribbean,2018,13.9,16.3,190.144,0.3,71.9
Austria,European Union,2021,4.3,5.2,87.6535,8.12,78.6
Vietnam,Asia,2020,18.1,22.7,130.047,88.87,74.9
Norway,Rest of Europe,2018,2.8,3.4,66.481,4.83,80.8
Kiribati,Oceania,2020,48.6,63.3,205.968,0.1,66.1
Sao Tome and Principe,Central America and Caribbean,2020,25.7,33,196.7465,0.18,67.9
Kazakhstan,Asia,2017,21.9,24.7,257.3335,15.78,67.1
Mozambique,Africa,2023,63,88.4,344.63,26.29,56.1
Dominican Republic,Central America and Caribbean,2015,28.8,35,161.617,10.28,73.2
"Congo, Dem. Rep.",Africa,2022,77,102.5,268.2395,71.36,58.4
Djibouti,Africa,2018,79.9,101,319.372,0.72,57
Slovenia,European Union,2017,2.9,3.6,94.189,2.02,78.8
Benin,Africa,2022,65.7,102.1,248.4295,10,60.1
Hungary,European Union,2023,4.5,5.4,131.9085,9.87,75.8
Slovenia,European Union,2015,3.3,4,102.7445,2.01,78.1
Nicaragua,Central America and Caribbean,2021,27.2,32.9,186.2505,5.29,70.6
"Bahamas, The",Central America and Caribbean,2022,12.5,14.6,161.711,0.37,72.6
Mauritania,Africa,2018,69.1,112.5,229.9,2.63,60.7
Guatemala,Central America and Caribbean,2018,41,52.1,207.817,11.59,67.8
China,Asia,2019,12.5,15.8,92.937,1337.71,74.4
Cameroon,Africa,2015,76.2,124.2,379.164,18.22,53.2
Lithuania,European Union,2017,5.9,7.3,222.743,3.2,71.8
Mexico,North America,2015,13.9,16.2,110.8405,121.86,74.9
Cabo Verde,Africa,2021,24.8,29.8,140.524,0.45,69.9
Iraq,Middle East,2023,32.4,40,179.8215,26.92,68.3
Grenada,Central America and Caribbean,2023,12.4,14.6,166.2075,0.1,73.1
Colombia,South America,2021,19.4,22.8,162.7195,41.48,73.8
Sao Tome and Principe,Central America and Caribbean,2019,51.2,76.5,218.9645,0.14,62
Slovak Republic,European Union,2018,8.2,9.8,147.9935,5.39,73.1
Botswana,Africa,2015,38.1,61.5,468.51,1.84,53.4
Czechia,European Union,2015,2.5,3.2,82.5385,10.55,78.6
Denmark,European Union,2023,3.5,4.1,69.2705,5.64,80.7
Mauritius,Africa,2019,12.5,14.5,151.4165,1.25,73
Benin,Africa,2015,63.2,97.6,242.9535,10.58,60.6
"Gambia, The",Africa,2023,40.9,62.4,264.471,2.02,60.7
Algeria,Africa,2018,24.4,28.4,106.1,35.33,74.6
Poland,European Union,2021,7,8.1,141.427,38.2,74.6
Burundi,Africa,2023,48.2,71.3,298.257,9.84,59.7
Bangladesh,Asia,2022,51.8,68.3,156.4125,136.99,67.3
Barbados,Central America and Caribbean,2020,14.2,15.5,122.8625,0.27,77.5
Spain,European Union,2019,4.3,5.3,81.959,40.85,79.4
Uzbekistan,Asia,2019,25.4,28.7,157.8785,28.56,69.7
Turkmenistan,Asia,2023,36.3,42,191.3055,5.47,67.6
Central African Republic,Africa,2017,102.5,152.8,494.9685,4.27,46.2
Cuba,Central America and Caribbean,2022,6.1,7.6,103.8635,11.25,77.5
Togo,Africa,2022,53.7,80.9,278.601,6.95,59.2
St. Vincent and the Grenadines,Central America and Caribbean,2015,15.2,16.7,154.8235,0.11,72.1
Montenegro,Rest of Europe,2017,7,8.1,122.2765,0.62,75.1
Malaysia,Asia,2020,7.6,8.9,130.4885,24.21,73
Sri Lanka,Asia,2023,12.2,14.2,132.3135,19.54,74.7
Uzbekistan,Asia,2022,20,22.5,145.432,30.24,70.4
Greece,European Union,2023,3.7,4.3,71.3785,10.89,81.4
Serbia,Rest of Europe,2017,6.9,8,134.1205,7.35,73.9
Mauritania,Africa,2023,56.2,85.1,205.0555,3.93,63.7
Bolivia,South America,2020,50.4,67.2,231.344,8.74,63.6
Rwanda,Africa,2020,40.6,58.6,233.744,10.29,64.5
Lebanon,Middle East,2015,11.2,13,77.1425,4.76,77.3
Turkiye,Middle East,2021,13.6,15.8,111.4545,74.65,75.4
Jamaica,Central America and Caribbean,2022,14.2,16.5,134.4545,2.86,74
Moldova,Rest of Europe,2023,13.7,16,172.978,2.86,71.3
Belgium,European Union,2023,3.3,4.1,72.379,11.21,81.3
Serbia,Rest of Europe,2023,5.7,6.6,116.691,7.13,75.3
India,Asia,2021,40.9,52,185.272,1265.78,67.5
Nicaragua,Central America and Caribbean,2022,18,21.1,152.7925,6.06,73.2
Japan,Asia,2020,2.3,3.2,64.2585,127.83,82.6
Bahrain,Middle East,2021,6.8,8,69.438,1.3,76.3
Mauritius,Africa,2021,13.8,16,164.979,1.21,72.1
Djibouti,Africa,2023,71.2,88.7,305.088,0.78,58
Poland,European Union,2019,7.6,8.8,147.2585,38.25,74.2
Netherlands,European Union,2017,4,4.7,67.9805,16.45,80.3
Sweden,European Union,2021,3.2,3.9,67.2,8.96,80.1
Lebanon,Middle East,2023,7.4,8.6,61.5415,6.26,78.7
Finland,European Union,2021,2.3,2.8,79.341,5.41,80.6
Belarus,Rest of Europe,2022,7.3,9.4,245.7875,9.73,69
Czechia,European Union,2022,2.5,3.1,88.7525,10.51,78.2
Bhutan,Asia,2018,36,44.9,230.9395,0.68,67.9
Equatorial Guinea,Africa,2019,104.4,151.4,332.218,0.63,53.6
Montenegro,Rest of Europe,2020,11.4,12.9,138.1465,0.61,73.2
Albania,Rest of Europe,2020,10.8,12.1,80.349,2.91,76.9
Kuwait,Middle East,2023,9.8,11.4,81.8995,2.27,73.5
"Gambia, The",Africa,2019,59.8,108.7,298.2375,1.36,56.4
Kiribati,Oceania,2015,44.7,57.6,198.449,0.11,67.3
Burundi,Africa,2021,53.4,80.3,306.3965,9.25,58.6
"Micronesia, Fed. Sts.",Oceania,2015,28.5,34.6,175.731,0.11,65.7
Angola,Africa,2016,90.6,147,297.0245,20.91,52.2
Israel,Middle East,2017,3.9,4.9,64.414,7.31,81
El Salvador,Central America and Caribbean,2022,14.4,16.8,187.4335,6.27,71.9
Montenegro,Rest of Europe,2015,8.4,9.7,128.5365,0.62,73.8
El Salvador,Central America and Caribbean,2016,19.2,22.6,203.491,6.11,70.5
United States,North America,2021,6,7.1,104.536,313.88,78.7
Bulgaria,European Union,2015,10.3,12.4,156.0375,7.6,72.6
Brazil,South America,2015,14.2,15.9,144.3625,204.47,75
Spain,European Union,2022,2.8,3.5,59.454,46.62,83.1
Guyana,South America,2015,27.4,33.1,209.372,0.77,69.3
Oman,Middle East,2019,13.3,15.4,126.257,2.29,72.6
Dominican Republic,Central America and Caribbean,2021,28.8,35,165.809,9.93,72.5
Angola,Africa,2015,95.7,156.4,307.785,20.15,51.1
Cambodia,Asia,2018,79.2,106.3,259.469,12.16,58.4
Ghana,Africa,2023,54.9,83,279.54,21.81,58.7
Canada,North America,2019,5.3,6.2,79.395,31.02,79.3
Japan,Asia,2018,3.3,4.5,72.954,126.84,81.1
Brazil,South America,2016,19.5,21.8,161.982,190.13,72.6
Saudi Arabia,Middle East,2020,16.7,19.6,105.2955,21.81,72.9
Mongolia,Asia,2020,20.6,24.4,225.0725,2.77,67.8
Dominican Republic,Central America and Caribbean,2020,28.8,35,167.619,9.81,72.3
Brazil,South America,2023,14.6,16.3,146.3165,202.76,74.7
Ukraine,Rest of Europe,2022,8.8,10.2,201.674,45.49,71.2
Poland,European Union,2022,4.5,5.2,119.573,38.04,77
Ukraine,Rest of Europe,2018,10.6,12.3,230.8795,46.05,69.2
Costa Rica,Central America and Caribbean,2021,10,11.8,96.955,4.16,77.9
El Salvador,Central America and Caribbean,2018,27.4,33.2,220.1275,5.89,68.9
Chad,Africa,2023,77.3,132.3,365.883,13.66,52.8
Tonga,Oceania,2016,12,14,147.075,0.1,69.9
Somalia,Africa,2019,96.2,157.4,326.1265,12.04,54
China,Asia,2015,8.3,10.7,82.273,1379.86,75.9
Albania,Rest of Europe,2020,21.7,24.4,87.182,3.05,74.6
Uruguay,South America,2016,11,12.6,115.7035,3.33,76.3
Russian Federation,Rest of Europe,2015,10.3,12.8,292.2095,143.05,66.7
Cyprus,European Union,2019,2.8,3.4,57.4125,1.11,79.4
Eritrea,Africa,2015,34,46.3,255.781,0.35,64.7
Panama,Central America and Caribbean,2020,20.9,24.8,124.3705,3.15,75.4
"Bahamas, The",Central America and Caribbean,2019,14,16.4,187.537,0.3,72
"Yemen, Rep.",Middle East,2016,50,65.6,244.445,21.28,64.5
Panama,Central America and Caribbean,2022,20,23.5,124.7005,3.27,75.7
Guinea,Africa,2016,79.4,126.6,304,9.52,54.9
Kuwait,Middle East,2015,7.5,8.8,58.1365,3.84,75.1
Finland,European Union,2020,3.3,4.1,97.1345,5.2,78.1
Croatia,European Union,2016,5.3,6.2,106.427,4.31,75.7
St. Lucia,Central America and Caribbean,2022,15.8,18.3,163.506,0.16,74
Burkina Faso,Africa,2019,89.3,174.9,325.735,11.94,50.9
United States,North America,2018,6.4,7.5,107.0105,306.77,78.4
Cabo Verde,Africa,2019,22.1,26.3,133.3605,0.49,71.1
Poland,European Union,2022,6.8,7.8,142.2675,38.18,74.8
Canada,North America,2015,4.7,5.4,65.9695,35.7,81.9
Ethiopia,Africa,2023,69.5,108.9,338.17,76.35,56.2
"Venezuela, RB",South America,2019,14.7,17.1,148.2105,28.44,73.1
Namibia,Africa,2023,34,47.9,328.32,2.27,61.4
Ukraine,Rest of Europe,2019,10.1,11.7,213.7115,45.87,70.3
Equatorial Guinea,Africa,2018,81.7,115.3,332.154,0.9,55.3
Mongolia,Asia,2019,22.1,26.3,230.153,2.72,67.4
United States,North America,2019,7,8.3,114.2395,284.97,76.8
Belarus,Rest of Europe,2020,8.5,10.9,260.3945,9.87,68.1
Myanmar,Asia,2020,47,61,204.845,50.99,64
Grenada,Central America and Caribbean,2015,14.3,16.2,141.3,0.11,72.4
Nigeria,Africa,2020,103.8,171.5,411.5985,128.6,46.8
China,Asia,2016,16.2,20.1,99.551,1317.89,73.6
"Venezuela, RB",South America,2020,14.7,17.2,147.169,28.89,73.1
Antigua and Barbuda,Central America and Caribbean,2018,8.7,10.6,139.537,0.09,75.7
Timor-Leste,Oceania,2017,56,67.7,171.0075,1.06,66.3
Afghanistan,Asia,2015,74.6,104.1,271.4905,26.43,58.8
Peru,South America,2018,16.2,20.8,134.0135,28.79,74.1
Guyana,South America,2020,30,36.7,215.255,0.75,68.3
Senegal,Africa,2019,42.4,65.7,211.9,12.68,64.3
"Egypt, Arab Rep.",Africa,2020,23.1,27.5,157.823,84.53,70.5
Angola,Africa,2019,118.2,198.4,361.129,16.95,47.1
Italy,European Union,2023,3,3.6,51.776,60.79,83.1
Slovak Republic,European Union,2020,5.6,6.8,120.157,5.4,76
Algeria,Africa,2022,22.1,25.8,98.739,38.14,75.7
United Kingdom,Rest of Europe,2023,5.1,6,79.5075,60.4,79
El Salvador,Central America and Caribbean,2021,23.5,28.1,213.592,5.99,69.7
Cameroon,Africa,2018,71.1,114.3,365.4865,19.79,54.6
Albania,Rest of Europe,2015,8.5,9.6,75.205,2.88,78
Cameroon,Africa,2023,59.5,92.4,345.615,22.68,57.1
Lesotho,Africa,2015,72.6,94.6,513.4755,2.06,51
Rwanda,Africa,2022,72.8,118.6,368.1215,8.68,53.6
Switzerland,Rest of Europe,2023,4.3,5.1,65.1225,7.44,81.2
Mozambique,Africa,2019,72.5,104.9,382.0835,23.53,52.3
Cambodia,Asia,2020,67.3,86.7,243.8905,12.64,60.3
Liberia,Africa,2015,85.3,121,294.2555,3.33,56.4
Suriname,South America,2021,24.9,28.2,207.3055,0.49,68.3
Namibia,Africa,2019,44.2,75.3,470.342,1.82,51.4
Uganda,Africa,2022,42.4,62.3,321.4315,35.69,59.9
Nepal,Asia,2017,40.1,50.8,186.7545,26.67,66.7
Saudi Arabia,Middle East,2015,7.8,9.1,87.974,31.72,74.7
India,Asia,2015,34.9,43.5,177.9465,1310.15,68.6
Czechia,European Union,2021,2.6,3.2,92.0385,10.51,78.1
Luxembourg,European Union,2020,3.3,4,98.426,0.45,78
Cameroon,Africa,2019,68.6,110.1,362.5215,20.34,55.1
Cyprus,European Union,2022,4.1,4.8,64.721,1.01,78.5
Montenegro,Rest of Europe,2018,6.3,7.4,118.42,0.62,75.1
Peru,South America,2016,18.2,23.4,137.505,28.33,73.5
Djibouti,Africa,2020,76.5,96.1,323.2315,0.75,57.2
Colombia,South America,2022,14.3,16.6,142.829,46.5,76.1
Indonesia,Asia,2021,25.9,31.2,181.1225,248.45,69.9
South Africa,Africa,2022,49.4,77.7,501.4985,47.29,53.4
Lithuania,European Union,2015,4,4.9,165.233,2.9,74.3
Czechia,European Union,2022,3.7,4.6,114.2985,10.2,75.7
Italy,European Union,2017,3.5,4.1,60.1245,58.83,81.5
New Zealand,Oceania,2020,5,6,70.233,4.38,80.9
Nigeria,Africa,2019,84.3,135.5,376.179,158.5,50.9
Thailand,Asia,2019,11.7,13.6,160.1755,67.2,74.2
Bulgaria,European Union,2017,9.5,11.4,148.4445,7.49,73
Central African Republic,Africa,2022,106.9,162.5,532.8745,3.96,44.4
Honduras,Central America and Caribbean,2019,29,35.3,169.61,6.75,71
Haiti,Central America and Caribbean,2017,61.3,83.2,271.8455,9.65,59.8
Austria,European Union,2022,3.2,3.9,67.3475,8.48,81.1
Dominican Republic,Central America and Caribbean,2018,32.4,40,186.951,8.47,69.4
Djibouti,Africa,2021,74.7,93.6,317.1835,0.76,57.4
Rwanda,Africa,2019,100,167.4,432.824,8.23,49.9
Ghana,Africa,2022,41.8,59.8,251.5445,26.61,62.1
Malta,European Union,2023,6.1,7,59.577,0.4,79.3
Chile,South America,2021,8.1,9.5,103.6575,15.85,77.1
Saudi Arabia,Middle East,2022,8.8,10.2,90.265,30.05,74.4
Colombia,South America,2023,13.8,16,141.448,46.97,76.3
St. Vincent and the Grenadines,Central America and Caribbean,2016,18.7,21.1,167.402,0.11,71.6
Namibia,Africa,2021,43.3,74.4,495.7265,1.88,50.6
Togo,Africa,2021,69.9,109.5,333.358,5.33,53.9
"Yemen, Rep.",Middle East,2023,45.4,58.7,223.9525,25.82,66.1
Bosnia and Herzegovina,Rest of Europe,2021,5.8,6.7,100.353,3.6,76.4
St. Lucia,Central America and Caribbean,2023,19,21.4,138.0705,0.18,75.4
Maldives,Asia,2020,25.5,30.7,117.6445,0.29,71.7
Armenia,Rest of Europe,2022,14,15.6,128.387,2.9,74.1
Uganda,Africa,2023,65.6,107.1,441.99,27.68,51.7
Cyprus,European Union,2018,3,3.5,58.8095,1.1,79.2
Afghanistan,Asia,2020,85.3,121.1,298.8855,22.6,56.8
Tonga,Oceania,2017,11.8,13.7,145.4525,0.1,69.9
Zimbabwe,Africa,2021,50.4,91.6,703,11.98,43.2
Luxembourg,European Union,2018,3.7,4.5,100.072,0.44,77.9
Antigua and Barbuda,Central America and Caribbean,2019,8.3,10,137.808,0.09,75.8
Burkina Faso,Africa,2022,83.3,159.5,311.4595,13.03,52.6
St. Lucia,Central America and Caribbean,2015,16.1,18.6,154.8585,0.17,74.3
Solomon Islands,Oceania,2015,24.1,28.9,190.4555,0.48,69.5
Turkmenistan,Asia,2015,36.4,42.2,189.928,5.57,67.7
Qatar,Middle East,2023,8.9,10.4,63.957,0.87,78.3
Nigeria,Africa,2023,95,155,397.18,138.87,48.3
Kenya,Africa,2018,40.4,59.9,302.9805,40.9,59.9
Lesotho,Africa,2017,77.1,113,569.1065,1.99,43.4
Indonesia,Asia,2022,37.1,49.6,190.6185,223.29,67
Vietnam,Asia,2020,21.7,27.4,137.514,81.53,73.4
Bahrain,Middle East,2021,9.7,11.3,81.7285,0.78,75
Paraguay,South America,2021,26.2,31.6,164.433,5.63,71.2
Antigua and Barbuda,Central America and Caribbean,2015,6.5,7.8,130.0025,0.09,76.5
Burundi,Africa,2018,94.7,154.5,355.0185,6.38,49.1
Fiji,Oceania,2015,19.9,23.4,207.4675,0.83,66.4
Malawi,Africa,2015,36.7,53.3,294.858,16.75,62
Guinea,Africa,2023,83.9,134.7,318.5825,9.11,53.2
Comoros,Africa,2023,55.8,74.7,229.794,0.76,63.2
Rwanda,Africa,2022,37.1,52,215.093,10.81,66.2
Antigua and Barbuda,Central America and Caribbean,2020,7.9,9.5,136.0795,0.09,76
Turkmenistan,Asia,2016,40.6,47.4,210.7895,4.87,65.7
Vanuatu,Oceania,2017,24.1,28.8,150.659,0.22,68.8
United Kingdom,Rest of Europe,2017,4.8,5.6,78.4095,61.81,79.6
Kyrgyz Republic,Asia,2017,29.6,33.7,213.764,5.32,68.5
Italy,European Union,2022,3.1,3.7,53.267,60.23,82.7
Czechia,European Union,2023,2.5,3.1,83.987,10.53,78.8
St. Vincent and the Grenadines,Central America and Caribbean,2023,15.7,17.4,155.902,0.11,72
Tanzania,Africa,2019,74.4,121.9,448.1755,34.39,51.4
Morocco,Africa,2019,42.3,50.1,146.7395,29.13,69.2
Estonia,European Union,2018,4,5,153.3555,1.33,74.8
El Salvador,Central America and Caribbean,2020,15.8,18.5,192.7545,6.21,71.4
Moldova,Rest of Europe,2019,14.7,17.1,197.1175,2.86,69.6
Myanmar,Asia,2015,41,52.2,196.053,52.68,65.8
Nepal,Asia,2022,32,39.4,163.2835,26.92,68.8
Tanzania,Africa,2019,47.1,71.9,316.531,44.35,58.6
Belarus,Rest of Europe,2019,4.3,5.6,223.1685,9.48,70.4
Jamaica,Central America and Caribbean,2018,18.9,22.2,168.4155,2.65,74.1
Rwanda,Africa,2015,59.3,93.9,312.9135,9.04,57.1
Tajikistan,Asia,2021,54.2,65.2,164.6845,6.54,64.5
Tonga,Oceania,2020,11.1,12.9,140.5855,0.1,70.1
"Congo, Rep.",Africa,2022,39.7,56.2,277.011,4.62,62
Myanmar,Asia,2023,42.3,54.1,197.7265,52.28,65.4
"Micronesia, Fed. Sts.",Oceania,2020,29.4,35.9,182.694,0.11,64.9
Seychelles,Africa,2015,12.7,14.8,151.6085,0.09,74.3
Bhutan,Asia,2020,32.4,40,223.746,0.69,68.8
Solomon Islands,Oceania,2019,22.2,26.4,169.032,0.53,70.7
Senegal,Africa,2020,62.3,115.1,250.933,10.28,58.7
Thailand,Asia,2019,17.8,20.9,196.2075,63.54,70.8
Netherlands,European Union,2015,3.4,4,58.0775,16.94,81.5
Portugal,European Union,2023,3,3.6,76.9805,10.4,81.1
"Yemen, Rep.",Middle East,2022,57.3,76.9,247.6745,19.54,62.9
Suriname,South America,2023,18.6,20.9,171.5365,0.55,71.1
Guinea-Bissau,Africa,2020,69.6,109.1,284.733,1.56,55.1
Zambia,Africa,2017,54.5,88.7,442.735,12.85,52.6
"Gambia, The",Africa,2021,56.4,99.8,293.086,1.45,57.2
United Arab Emirates,Middle East,2020,7.2,8.4,72.9945,8.95,76.5
Burundi,Africa,2015,46.2,67.6,294.187,10.16,60.1
United Arab Emirates,Middle East,2018,7.6,8.9,75.597,7.92,76.1
Hungary,European Union,2017,5.5,6.5,166.717,10.04,73.7
Malawi,Africa,2022,42.2,63.4,315.314,15.84,59.9
Eritrea,Africa,2018,56.1,85.2,370.455,2.29,55.3
Italy,European Union,2021,3.2,3.8,55.1645,59.54,82.2
Oman,Middle East,2020,10,11.6,96.52,3.25,75.9
Nepal,Asia,2015,43.8,56.3,197.587,26.07,65.8
Serbia,Rest of Europe,2018,6.7,7.8,130.945,7.32,74
France,European Union,2022,3.1,4.1,77.9145,66,82.2
Greece,European Union,2019,3.4,3.9,74.8405,11.12,80.4
Guyana,South America,2021,34.7,43.2,226.301,0.75,66.1
Nigeria,Africa,2018,85.9,138.3,379.9755,154.32,50.4
Bolivia,South America,2020,31.2,39.2,196.6465,10.21,68.5
Australia,Oceania,2019,4,4.8,62.169,22.03,81.7
Jordan,Middle East,2018,17.6,20.7,116.897,6.89,73.3
Timor-Leste,Oceania,2019,51.4,61.5,164.1365,1.09,67.2
Timor-Leste,Oceania,2021,73,91.2,234.413,0.95,61.9
Paraguay,South America,2023,19.6,23,146.1335,6.6,73.5
Suriname,South America,2020,25.7,29.1,212.234,0.48,68.1
China,Asia,2020,11.5,14.6,90.7325,1345.04,74.7
Serbia,Rest of Europe,2021,6.2,7.1,121.4185,7.2,74.8
"Yemen, Rep.",Middle East,2022,45.2,58.4,226.386,25.15,66
Mozambique,Africa,2015,61.3,84,332.583,27.04,57.2
Poland,European Union,2020,7.3,8.4,143.4055,38.23,74.5
Bulgaria,European Union,2015,6.9,8.2,136.0675,7.18,74.6
China,Asia,2023,19.4,24,102.5235,1303.72,73
France,European Union,2015,3.3,4.5,89.724,63.62,80.8
Czechia,European Union,2017,3,3.7,104.5205,10.38,77
Sierra Leone,Africa,2015,95.1,140.2,397.8705,7.17,52.9
Qatar,Middle East,2022,7.2,8.4,57.8825,2.34,79.5
Burkina Faso,Africa,2022,62.7,108.3,267.2085,17.07,58.9
Sao Tome and Principe,Central America and Caribbean,2020,48,71,217.479,0.15,62.7
Mauritius,Africa,2016,13,15.2,157.4485,1.24,72.6
Kazakhstan,Asia,2023,11.6,13,193.594,17.29,71.4
Argentina,South America,2021,11.9,13.3,121.2325,41.73,75.6
Ireland,European Union,2019,5.8,6.9,89.055,3.87,77.1
"Congo, Rep.",Africa,2023,38.7,54.4,269.618,4.74,62.6
Guinea,Africa,2019,74.4,117.7,290.8,10.19,56.9
Tonga,Oceania,2019,14.2,16.5,156.677,0.1,69.7
Rwanda,Africa,2018,47,69.6,259.5265,9.78,62.1
Mongolia,Asia,2023,33.1,40.9,252.831,2.53,65.1
Seychelles,Africa,2019,11.8,13.7,178.6415,0.08,73.3
Syrian Arab Republic,Middle East,2023,16.8,19.7,116.383,18.36,74.4
Latvia,European Union,2020,10.2,12.6,225.2175,2.31,71
France,European Union,2023,3.3,4.6,91.6715,63.18,80.2
Syrian Arab Republic,Middle East,2015,25.6,41.6,178.1065,18,69.9
Indonesia,Asia,2015,32.4,39.9,189.1485,229.32,67.7
United Arab Emirates,Middle East,2022,6.8,8,70.6545,9.2,76.9
Burkina Faso,Africa,2019,68.1,121.5,280.9365,15.61,57.1
Haiti,Central America and Caribbean,2023,65.3,89.4,287.5005,9.2,58.7
Mali,Africa,2017,81.1,140.2,289.566,14.11,54.2
Cambodia,Asia,2022,30.3,35.3,182.9515,15.03,67.9
Eswatini,Africa,2018,67.8,112.2,559.1865,1.01,47.5
Kyrgyz Republic,Asia,2018,27.8,31.6,206.2885,5.38,69.1
Grenada,Central America and Caribbean,2018,12.9,15.5,179.4865,0.1,72.6
Guyana,South America,2017,31.7,39,219.435,0.75,67.5
"Micronesia, Fed. Sts.",Oceania,2018,27.8,33.7,172.001,0.1,66.3
Barbados,Central America and Caribbean,2020,13.7,14.8,104.765,0.28,78.5
Kiribati,Oceania,2021,49.5,64.8,215.9625,0.09,64
Bahrain,Middle East,2016,8.4,9.8,73.874,1.04,75.6
Colombia,South America,2015,17.8,20.8,155.343,43.2,74.5
Germany,European Union,2021,3.4,4,73.3235,80.43,80.5
Fiji,Oceania,2018,19.1,22.4,219.344,0.81,65.7
India,Asia,2023,36.9,46.2,180.388,1295.6,68.3
"Venezuela, RB",South America,2022,16.4,19.1,155.121,26,72.7
Belgium,European Union,2015,4,4.8,86.023,10.55,79.4
Slovak Republic,European Union,2023,5.2,6.4,108.859,5.42,76.8
Antigua and Barbuda,Central America and Caribbean,2016,9.6,11.7,142.994,0.08,75.4
El Salvador,Central America and Caribbean,2015,13.3,15.5,182.1595,6.33,72.4
Panama,Central America and Caribbean,2015,14.6,17,114.701,3.97,77.8
Bulgaria,European Union,2019,9,10.8,142.4175,7.4,73.5
Mozambique,Africa,2022,64.7,92.3,356.677,25.56,54.9
